Designator,Qty,Manufacturer,Model,Description,Distributor,Price,Extended,Link,
C1,1,Panasonic,EEU-FR1E471YB,CAP ALUM 470UF 20% 25V RADIAL,DigiKey,0.78,0.78,https://www.digikey.com/short/fhrbtp27,
R1,1,"KOA Speer Electronics, Inc.",CF1/4CT52R223J,RES 22K OHM 5% 1/4W AXIAL,DigiKey,0.10,0.10,https://www.digikey.com/short/30drn91z,
R2,1,"KOA Speer Electronics, Inc.",CF1/4CT52R102J,RES 1K OHM 5% 1/4W AXIAL,DigiKey,0.10,0.10,https://www.digikey.com/short/39q0j0zb,
R3,1,"KOA Speer Electronics, Inc.",CF1/4CT52R105J,RES 1M OHM 5% 1/4W AXIAL,DigiKey,0.10,0.10,https://www.digikey.com/short/ft10phtb,
D1,1,Comchip Technology,1N4001-G,DIODE GEN PURP 50V 1A DO41,DigiKey,0.21,0.21,https://www.digikey.com/short/9f3b57pp,
Q1,1,onsemi,MPSA29,TRANS NPN DARL 100V 0.8A TO92-3,DigiKey,0.50,0.50,https://www.digikey.com/short/25q94d40,
K1,1,Omron,G6RL-1-ASI-DC3,RELAY GEN PURPOSE SPDT 8A 3V,DigiKey,5.27,5.27,https://www.digikey.com/short/wdd0m303,
J1,1,Phoenix Contact,1803293,TERM BLOCK HDR 4POS 90DEG 3.81MM,Mouser,1.99,1.99,https://mou.sr/3ZnhmtJ,
,1,Phoenix Contact,1803594,TERM BLOCK PLUG 4POS STR 3.81MM,DigiKey,5.60,5.60,https://www.digikey.com/short/37fc3mpp,
"P8, P9",2,Molex,22284233,CONN HEADER VERT 23POS 2.54MM,DigiKey,1.51,3.02,https://www.digikey.com/short/bntz74j8,
,4,RAF Electronic Hardware,4504-440-AL,"HEX STANDOFF #4-40 ALUM 7/16""",DigiKey,0.44,1.76,https://www.digikey.com/short/q03dhdhm,
,4,Keystone Electronics,9901,MACHINE SCREW PAN PHILLIPS 4-40,DigiKey,0.12,0.48,https://www.digikey.com/short/pqd9238h,
,0.1,Pololu Corporation,3852,"JMPR WIRE 10-PACK M-M 2"" RED",DigiKey,3.25,0.33,https://www.digikey.com/short/8qm2d1hh,
,1,JLCPCB,,PCB RAW,,1.33,1.33,,
